ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,80.00,encoder_forward_kernel1,encoder_forward_kernel1..const..,0.00,0.00,1.97,15.64,26,"    8,    1,    1","  512,    1,    1"
1,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.24%),0.00,1.50  (-24.14%),15.03   (-3.92%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
2,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.43%),0.00,11.11 (+462.51%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
3,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.51 (+1698.35%),83.44 (+433.49%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
4,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.94%),0.00,72.39 (+3565.54%),48.21 (+208.22%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
5,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.61 (+3171.61%),44.47 (+184.29%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
6,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2716.07%),0.00,2.63  (+33.02%),51.53 (+229.43%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
7,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.91%),0.00,86.89 (+4299.85%),58.02 (+270.93%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
8,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.20 (+3556.16%),58.66 (+275.04%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
9,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.78%),0.00,11.10 (+462.09%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
10,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.85 (+1107.64%),90.56 (+478.97%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
11,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.07%),0.00,1.48  (-25.10%),15.02   (-3.99%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
12,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15867.12%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
13,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.98%),0.00,37.36 (+1791.84%),70.37 (+349.91%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
14,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.68%),0.00,11.09 (+461.68%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
15,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.80 (+1105.26%),90.47 (+478.41%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
16,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.31%),0.00,1.48  (-25.24%),14.95   (-4.40%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
17,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.96%),0.00,11.11 (+462.51%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
18,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.49 (+1697.04%),83.55 (+434.14%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
19,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.94%),0.00,72.33 (+3562.82%),48.17 (+208.00%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
20,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.72%),0.00,64.59 (+3170.84%),44.45 (+184.18%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
21,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2734.98%),0.00,2.59  (+31.39%),51.26 (+227.73%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
22,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.66%),0.00,86.89 (+4299.73%),57.83 (+269.73%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
23,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.24 (+3557.87%),58.66 (+275.02%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
24,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.91%),0.00,11.10 (+462.11%),49.90 (+219.02%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
25,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.04%),0.00,23.93 (+1111.93%),90.32 (+477.45%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
26,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.34%),0.00,1.50  (-23.95%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
27,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.28%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
28,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.96%),0.00,37.40 (+1793.66%),70.18 (+348.70%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
29,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.61%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
30,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.71 (+1100.61%),90.35 (+477.63%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
31,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.22%),0.00,1.48  (-25.10%),15.00   (-4.09%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
32,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.23%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
33,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.11%),0.00,35.50 (+1697.59%),83.36 (+432.95%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
34,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.82%),0.00,72.32 (+3562.18%),48.17 (+207.95%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
35,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.73%),0.00,64.62 (+3172.41%),44.45 (+184.19%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
36,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2742.57%),0.00,2.59  (+31.12%),51.25 (+227.64%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
37,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.96%),0.00,86.91 (+4300.70%),57.90 (+270.17%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
38,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.21 (+3556.50%),58.66 (+275.01%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
39,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.74%),0.00,11.10 (+462.04%),49.89 (+218.98%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
40,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.83 (+1106.77%),90.29 (+477.27%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
41,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.09%),0.00,1.51  (-23.36%),15.01   (-4.03%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
42,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.36%),0.00,11.11 (+462.68%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
43,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-83.00%),0.00,37.37 (+1792.14%),70.18 (+348.70%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
44,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.73%),0.00,11.09 (+461.69%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
45,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.82 (+1106.38%),90.49 (+478.51%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
46,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.13%),0.00,1.48  (-25.03%),15.02   (-3.98%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
47,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.29%),0.00,11.11 (+462.51%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
48,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.51 (+1697.88%),83.60 (+434.45%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
49,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.41 (+3566.42%),48.22 (+208.30%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
50,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.76%),0.00,64.61 (+3171.78%),44.44 (+184.11%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
51,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2750.90%),0.00,2.60  (+31.74%),51.89 (+231.77%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
52,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.96%),0.00,86.91 (+4301.03%),58.31 (+272.78%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
53,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.24 (+3558.04%),58.74 (+275.52%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
54,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.88%),0.00,11.10 (+462.07%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
55,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.80 (+1105.03%),90.35 (+477.67%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
56,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.73%),0.00,1.50  (-24.05%),15.05   (-3.81%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
57,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.48%),0.00,11.11 (+462.69%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
58,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.99%),0.00,37.38 (+1793.02%),70.29 (+349.37%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
59,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.81%),0.00,11.09 (+461.67%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
60,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.85 (+1107.93%),90.70 (+479.89%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
61,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.01%),0.00,1.48  (-25.04%),15.01   (-4.01%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
62,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.37%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
63,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.51 (+1698.35%),83.48 (+433.74%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
64,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.97%),0.00,72.34 (+3563.06%),48.18 (+208.02%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
65,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.74%),0.00,64.63 (+3172.60%),44.45 (+184.19%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
66,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2741.27%),0.00,2.60  (+31.88%),51.08 (+226.60%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
67,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.56%),0.00,86.89 (+4299.88%),58.03 (+271.04%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
68,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.22 (+3557.00%),58.66 (+275.02%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
69,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.60%),0.00,11.10 (+462.08%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
70,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.92 (+1111.04%),90.47 (+478.42%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
71,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.90%),0.00,1.47  (-25.33%),15.02   (-3.95%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
72,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.71%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
73,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.89%),0.00,37.14 (+1780.76%),70.16 (+348.53%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
74,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.82%),0.00,11.09 (+461.69%),49.91 (+219.07%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
75,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.88 (+1109.20%),90.66 (+479.61%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
76,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.11%),0.00,1.48  (-24.99%),14.95   (-4.45%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
77,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.56%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
78,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.53 (+1699.31%),83.46 (+433.61%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
79,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.89%),0.00,72.37 (+3564.60%),48.20 (+208.15%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
80,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.75%),0.00,64.61 (+3171.82%),44.46 (+184.25%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
81,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2727.53%),0.00,2.57  (+30.22%),50.56 (+223.25%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
82,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.44%),0.00,86.86 (+4298.54%),58.10 (+271.43%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
83,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.23 (+3557.55%),58.75 (+275.62%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
84,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3896.25%),0.00,11.10 (+462.11%),49.90 (+219.02%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
85,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.79 (+1104.89%),90.52 (+478.70%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
86,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.13%),0.00,1.47  (-25.44%),15.03   (-3.88%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
87,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.62%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
88,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.93%),0.00,37.23 (+1785.47%),70.20 (+348.83%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
89,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.57%),0.00,11.09 (+461.66%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
90,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.80 (+1104.92%),90.42 (+478.07%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
91,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.33%),0.00,1.48  (-24.84%),14.97   (-4.30%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
92,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.23%),0.00,11.11 (+462.51%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
93,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.51 (+1697.92%),83.41 (+433.24%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
94,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+4.03%),0.00,72.39 (+3565.59%),48.21 (+208.25%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
95,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.76%),0.00,64.59 (+3170.77%),44.46 (+184.23%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
96,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2730.69%),0.00,2.62  (+32.49%),52.03 (+232.65%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
97,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.53%),0.00,86.86 (+4298.15%),58.39 (+273.32%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
98,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.21 (+3556.46%),58.70 (+275.31%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
99,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.77%),0.00,11.10 (+462.13%),49.90 (+219.03%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
100,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.81 (+1105.72%),90.42 (+478.12%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
101,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.82%),0.00,1.50  (-24.29%),15.04   (-3.83%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
102,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.68%),0.00,11.11 (+462.67%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
103,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-83.00%),0.00,37.40 (+1793.77%),70.42 (+350.21%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
104,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.10%),0.00,11.09 (+461.69%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
105,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.72 (+1101.13%),90.46 (+478.33%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
106,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.02%),0.00,1.48  (-24.95%),15.02   (-3.94%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
107,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.19%),0.00,11.11 (+462.51%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
108,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.46 (+1695.67%),83.52 (+433.96%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
109,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.81%),0.00,72.33 (+3562.54%),48.17 (+207.94%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
110,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.74%),0.00,64.62 (+3172.29%),44.46 (+184.26%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
111,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2799.96%),0.00,2.55  (+29.05%),50.77 (+224.57%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
112,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.91%),0.00,86.40 (+4274.81%),58.24 (+272.37%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
113,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.25 (+3558.45%),58.63 (+274.85%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
114,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.61%),0.00,11.10 (+462.07%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
115,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.93 (+1111.96%),90.68 (+479.78%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
116,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.10%),0.00,1.51  (-23.66%),15.00   (-4.09%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
117,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.62%),0.00,11.11 (+462.65%),49.95 (+219.32%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
118,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.97%),0.00,37.45 (+1796.17%),70.24 (+349.07%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
119,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.42%),0.00,11.09 (+461.68%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
120,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.76 (+1103.32%),90.45 (+478.30%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
121,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.00%),0.00,1.49  (-24.53%),15.00   (-4.08%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
122,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.22%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
123,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.46 (+1695.61%),83.51 (+433.92%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
124,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.86%),0.00,72.34 (+3562.97%),48.17 (+207.99%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
125,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.57 (+3169.61%),44.42 (+183.99%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
126,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2721.99%),0.00,2.59  (+31.31%),50.22 (+221.05%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
127,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.36%),0.00,86.88 (+4299.29%),57.88 (+270.02%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
128,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.22 (+3556.95%),58.67 (+275.13%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
129,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.63%),0.00,11.10 (+462.07%),49.89 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
130,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.76 (+1103.00%),90.39 (+477.90%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
131,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.05%),0.00,1.48  (-24.84%),15.04   (-3.83%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
132,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.47%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
133,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.83%),0.00,37.03 (+1774.96%),69.80 (+346.28%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
134,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.85%),0.00,11.09 (+461.67%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
135,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.87 (+1108.49%),90.47 (+478.38%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
136,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.08%),0.00,1.49  (-24.47%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
137,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.29%),0.00,11.11 (+462.53%),49.94 (+219.26%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
138,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.48 (+1696.42%),83.47 (+433.65%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
139,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.98%),0.00,72.34 (+3563.02%),48.18 (+208.01%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
