ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
336,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.15%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
337,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.12%),0.00,35.48 (+1696.63%),83.46 (+433.60%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
338,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.79%),0.00,72.37 (+3564.67%),48.19 (+208.12%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
339,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.68%),0.00,64.58 (+3170.22%),44.45 (+184.18%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
340,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2714.38%),0.00,2.63  (+33.02%),50.84 (+225.05%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
341,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.93%),0.00,86.81 (+4295.72%),58.10 (+271.45%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
342,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.27 (+3559.40%),58.61 (+274.71%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
343,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.65%),0.00,11.10 (+462.10%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
344,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.94 (+1112.41%),90.46 (+478.37%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
345,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.07%),0.00,1.50  (-23.81%),15.02   (-3.95%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
346,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.69%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
347,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.92%),0.00,37.29 (+1788.21%),70.00 (+347.56%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
348,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.17%),0.00,11.09 (+461.67%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
349,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.89 (+1109.80%),90.77 (+480.32%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
350,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.08%),0.00,1.48  (-24.92%),14.98   (-4.24%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
351,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.02%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
352,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.47 (+1696.22%),83.56 (+434.23%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
353,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.89%),0.00,72.35 (+3563.68%),48.18 (+208.03%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
354,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.74%),0.00,64.57 (+3169.48%),44.43 (+184.04%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
355,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2738.39%),0.00,2.59  (+31.26%),51.13 (+226.87%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
356,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.52%),0.00,86.98 (+4304.17%),58.33 (+272.93%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
357,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.22 (+3557.19%),58.63 (+274.86%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
358,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.72%),0.00,11.10 (+462.08%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
359,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.04%),0.00,23.95 (+1112.70%),90.79 (+480.45%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
360,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.06%),0.00,1.47  (-25.78%),15.02   (-3.98%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
361,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.57%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
362,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.82%),0.00,37.14 (+1780.55%),69.55 (+344.69%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
363,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.61%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
364,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.79 (+1104.61%),90.40 (+477.97%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
365,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.41%),0.00,1.49  (-24.59%),15.02   (-3.97%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
366,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,7.63 (+261396.85%),0.00,11.11 (+462.57%),49.96 (+219.43%),48  (+84.62%),"  256, 3144,    1","   16,   16,    1"
367,0.00,fused_classifier_kernel1,fused_classifier_kernel1..const..,0.01 (+355.33%),0.00,15.77 (+698.49%),75.36 (+381.81%),24   (-7.69%)," 1024,    1,    1","  128,    1,    1"
368,80.00,encoder_forward_kernel1,encoder_forward_kernel1..const..,0.00   (+0.86%),0.00,1.97   (-0.09%),15.67   (+0.21%),26   (+0.00%),"    8,    1,    1","  512,    1,    1"
